ProjectID_Simple,Parameter_type,Goal_baseline,Goal_trend,Goal_source,Goal_effective,Goal_education,dataCount,months_sampled,median_analytes_per_year,median_sites_per_year,median_datapoints_per_site_year,spatial_intensity_ratio,median_months_per_year
CARBON-CD,Sediment,0,0,1,0,0,627,40,1.5,9,11,1.2222222222222223,7
CARBON-CD,Physical,0,0,1,0,0,445,24,2,9,16,1.7777777777777777,8
CARBON-CD,Chemical,0,0,1,0,0,395,23,2,9,16,1.7777777777777777,8
CLEARWATER-BASIN,Nutrients,1,0,0,0,0,878,14,4,14,18,1.2857142857142858,3.5
CLEARWATER-BASIN,Biological,1,0,0,0,0,267,13,2,8.5,8,0.9411764705882353,3
CLEARWATER-BASIN,Chemical,1,0,0,0,0,266,7,2,15.5,8,0.5161290322580645,3.5
FRA-WQ,Chemical,1,0,0,0,1,173,10,3,11.5,9,0.782608695652174,5
FRA-WQ,Physical,1,0,0,0,1,231,10,4,11.5,11.75,1.0217391304347827,5
FRA-WQ,Nutrients,1,0,0,0,1,128,9,2,11,5,0.45454545454545453,4.5
JCP,Sediment,0,0,1,0,1,149,11,3,7,11.5,1.6428571428571428,5.5
JCP,Physical,0,0,1,0,1,349,12,6,7,27,3.857142857142857,6
JCP,Chemical,0,0,1,0,1,135,11,2,6.5,11,1.6923076923076923,5.5
JCP,Nutrients,0,0,1,0,1,168,6,3,6,13.5,2.25,3
JCP,Biological,0,0,1,0,1,24,4,1,6,2,0.3333333333333333,2
KWAWQ,Nutrients,1,0,1,0,0,390,7,2,29,4,0.13793103448275862,2
KWAWQ,Chemical,1,0,1,0,0,195,7,1,29,2,0.06896551724137931,2
LAKEMARYRONAN,Sediment,1,0,1,0,0,96,13,1,5.5,8.5,1.5454545454545454,6.5
LAKEMARYRONAN,Nutrients,1,0,1,0,0,384,13,4,5.5,34,6.181818181818182,6.5
LAKEMARYRONAN,Physical,1,0,1,0,0,147,13,4,5.5,12.75,2.3181818181818183,6.5
LAKEMARYRONAN,Biological,1,0,1,0,0,12,6,1,2,3,1.5,3
LB-LAKE,Nutrients,1,1,1,0,0,283,6,2,15,4,0.26666666666666666,1
LB-LAKE,Chemical,1,0,0,0,0,91,6,3,3,3,1,1
LB-LAKE,Sediment,1,0,0,0,0,22,4,1,3,1,0.3333333333333333,1
LB-LAKE,Biological,1,1,1,0,0,79,6,2,11,2,0.18181818181818182,1
LB-LAKE,Physical,1,1,1,0,0,1,1,1,1,1,1,1
LHVWM,Physical,1,0,0,0,0,318,24,4,9,5,0.5555555555555556,3
LHVWM,Metals,1,0,0,0,0,740,24,9,9,10,1.1111111111111112,3
LHVWM,Nutrients,1,0,0,0,0,295,24,3,9,4,0.4444444444444444,3
LHVWM,Chemical,1,0,0,0,0,751,24,9,9,12,1.3333333333333333,3
LHVWM,Sediment,1,0,0,0,0,31,8,1,8,2,0.25,4
MBPHOA_POND,Chemical,1,0,0,0,0,6,3,1,3,2,0.6666666666666666,3
MBPHOA_POND,Physical,1,0,0,0,0,12,3,2,3,4,1.3333333333333333,3
MBPHOA_POND,Nutrients,1,0,0,0,0,60,3,5,3,25,8.333333333333334,3
MORRELL,Sediment,0,0,0,0,1,27,8,1,2.5,3.5,1.4,4
MORRELL,Nutrients,0,0,0,0,1,99,9,4,2.5,11.5,4.6,4.5
MST,Chemical,1,0,0,0,0,2480,58,2,19.5,3,0.15384615384615385,5
MST,Biological,1,0,0,0,0,2559,42,3,16,18,1.125,4
MST,Sediment,1,1,0,0,0,1105,57,2,19,3,0.15789473684210525,5
MST,Physical,1,1,0,0,0,3924,59,6,19.5,7,0.358974358974359,5
MST,Metals,0,0,0,0,0,977,9,3.5,7.5,9.75,1.3,2.5
MST,Nutrients,0,1,1,0,0,1834,40,4,17,9,0.5294117647058824,3
MVWQD,Nutrients,1,0,1,0,0,1492,23,3,27.5,9,0.32727272727272727,3.5
MVWQD,Chemical,1,0,1,0,0,481,23,1,27.5,3,0.10909090909090909,3.5
MVWQD,Sediment,1,0,1,0,0,480,23,1,27.5,3,0.10909090909090909,3.5
MVWQD,Physical,1,0,1,0,0,7,2,1,3,1,0.3333333333333333,1
RFC-WQ,Physical,1,0,0,0,0,11,3,1,4,3,0.75,3
RFC-WQ,Nutrients,1,0,0,0,0,68,4,4,3.5,8,2.2857142857142856,2
ROCK-CREEK,Sediment,0,0,1,0,0,402,19,2,11,13,1.1818181818181819,7
ROCK-CREEK,Nutrients,0,0,1,0,0,964,19,4,11,28,2.5454545454545454,7
ROCK-CREEK,Physical,1,0,0,0,0,594,14,4,11,27,2.4545454545454546,7
ROCK-CREEK,Chemical,0,0,0,0,0,286,13,2,11,13,1.1818181818181819,6.5
SFWQ,Sediment,1,0,0,0,0,360,37,1,11,5,0.45454545454545453,6
SFWQ,Physical,1,0,0,0,0,1334,37,4,11,18,1.6363636363636365,6
SFWQ,Chemical,1,0,0,0,0,1132,37,3,11,15,1.3636363636363635,6
SFWQ,Nutrients,1,0,1,0,0,2184,37,5,11,25,2.272727272727273,6
SRHP,Chemical,1,0,0,0,0,150,7,5,7,7.5,1.0714285714285714,2
SRHP,Metals,1,0,0,0,0,240,7,8,7,12,1.7142857142857142,2
SRHP,Nutrients,1,0,0,0,0,90,7,3,7,4.5,0.6428571428571429,2
SRHP,Sediment,1,0,0,0,0,30,7,1,7,1.5,0.21428571428571427,2
SRWQI,Nutrients,1,0,0,0,1,1570,48,3,9,39,4.333333333333333,11
SRWQI,Sediment,1,0,0,0,1,974,48,2,9,23,2.5555555555555554,11
SRWQI,Chemical,1,0,0,0,1,976,48,2,9,24,2.6666666666666665,11
SRWQI,Physical,1,0,0,0,1,987,48,3,9,24,2.6666666666666665,11
SRWQI,Metals,0,0,0,0,0,60,2,5,4,10,2.5,2
STUDENTS-IN-ACTION,Nutrients,1,0,1,0,1,104,7,4,1,104,104,7
STUDENTS-IN-ACTION,Sediment,1,0,0,0,1,26,7,1,1,26,26,7
SWIM-RWQ,Physical,1,0,0,0,0,284,3,1,32,9,0.28125,3
SWIM-RWQ,Biological,1,0,0,0,0,677,9,1,16,10,0.625,3
TCLSC-CLH,Nutrients,1,0,0,0,0,94,3,4,6,12,2,3
TU-BF,Nutrients,0,1,0,0,0,66,3,3,6,10.5,1.75,3
TU-BF,Sediment,0,1,0,0,0,22,3,1,6,3.5,0.5833333333333334,3
UMOWA,Biological,1,1,0,0,0,366,3,1,12,30.5,2.5416666666666665,3
UMOWA,Chemical,1,1,0,0,0,517,24,1,7,3,0.42857142857142855,3
UMOWA,Nutrients,1,1,0,0,0,669,24,3,7,9,1.2857142857142858,3
UMOWA,Metals,0,0,0,0,0,216,3,8,7,32,4.571428571428571,3
UMOWA,Sediment,1,1,0,0,0,211,24,1,7,3,0.42857142857142855,3
WRH20QTEAM,Nutrients,1,1,0,0,0,56,3,4,3,16,5.333333333333333,3
WRH20QTEAM,Physical,1,1,0,0,0,15,3,2,3,5,1.6666666666666667,3
WRH20QTEAM,Chemical,1,1,0,0,0,6,2,1,3,2,0.6666666666666666,2
YERC-RIVERNET,Nutrients,1,0,0,0,1,401,6,4,15,12,0.8,3
YERC-RIVERNET,Sediment,1,1,0,0,1,83,5,1,15,2.5,0.16666666666666666,2.5
YVFC,Nutrients,1,1,1,0,0,422,9,3,15.5,6,0.3870967741935484,2
YVFC,Sediment,0,1,1,0,0,260,8,2,15.5,4,0.25806451612903225,2
YVFC,Physical,1,1,0,0,0,493,8,4,15.5,8,0.5161290322580645,2
YVFC,Chemical,0,1,1,0,0,254,8,2.5,15.5,4,0.25806451612903225,2
M13SUNR,Sediment,0,1,0,0,1,836,93,1,7,7,1,6
M13SUNR,Nutrients,0,1,0,0,1,2708,96,3,7,21,3,6
M13SUNR,Chemical,0,1,0,0,1,386,12,2,13,12,0.9230769230769231,5
M13SUNR,Physical,0,1,0,0,1,166,6,3,13,13,1,6
MWC-SAL,Physical,1,0,0,0,1,59,4,2,9,5,0.5555555555555556,4
DEEPCREEK,Sediment,0,0,0,1,1,53,4,2,7,7,1,4
DEEPCREEK,Physical,0,0,0,1,1,147,14,2,10,1,0.1,3
DEEPCREEK,Nutrients,0,0,0,0,0,72,3,3,7,9,1.2857142857142858,3
DEEPCREEK,Chemical,0,0,0,1,1,34,3,2,6,6,1,3
DEEPCREEK,Biological,0,0,0,1,1,435,2,2,7,57,8.142857142857142,2
NMLN,Physical,0,0,0,0,1,36603,55,4,45.5,63.5,1.3956043956043955,2.5
NMLN,Chemical,0,1,0,0,0,11909,56,1,45.5,17.5,0.38461538461538464,3
NMLN,Nutrients,0,1,0,0,0,1174,38,2,45,2,0.044444444444444446,2
NMLN,Biological,0,1,0,0,1,489,34,1,45.5,1,0.02197802197802198,2
NWMTLVMN,Biological,1,1,0,0,0,56,2,1,53,1,0.018867924528301886,2
NWMTLVMN,Nutrients,1,1,0,0,0,100,2,2,47,2,0.0425531914893617,2
NWMTLVMN,Sediment,0,0,0,0,0,10,1,1,10,1,0.1,1
NWMTLVMN,Chemical,1,1,0,0,0,54,3,1,51,1,0.0196078431372549,3
UPGAL-GRTF,Nutrients,1,0,1,0,0,2350,37,4,14,22,1.5714285714285714,5
UPGAL-GRTF,Physical,1,0,1,0,0,2400,38,6,13,28,2.1538461538461537,5
UPGAL-GRTF,Sediment,1,0,1,0,0,823,37,2,14,9.5,0.6785714285714286,5
UPGAL-GRTF,Chemical,1,0,1,0,0,2595,37,5,14,25,1.7857142857142858,5
UPGAL-GRTF,Biological,1,0,1,0,0,432,13,1,13,5,0.38461538461538464,2
WWQMP,Chemical,1,0,0,0,1,11324,115,3,13.5,14,1.037037037037037,8.5
WWQMP,Physical,1,0,0,0,1,37006,115,5,13.5,26.5,1.962962962962963,8.5
WWQMP,Sediment,1,0,0,0,1,2976,90,2,12,12.75,1.0625,7
WWQMP,Biological,1,0,0,0,1,131,57,1,3,6,2,6
WWQMP,Nutrients,1,0,0,0,1,4970,84,5,13,30,2.3076923076923075,7
WWQMP,Metals,0,0,0,0,0,16,3,2,1,8,8,1.5
CLEARWATER-NUT,Nutrients,1,0,1,0,0,2814,31,2,19.5,28,1.435897435897436,5
CLEARWATER-NUT,Sediment,1,0,1,0,0,4028,38,2,24,28,1.1666666666666667,5
CLEARWATER-NUT,Physical,1,0,1,0,0,3055,35,2,24,27,1.125,5
GGWC,Metals,0,1,0,0,0,180,6,5,4,22.5,5.625,3
GGWC,Chemical,0,1,0,0,0,366,17,3,6,9,1.5,3
GGWC,Nutrients,0,1,0,0,0,582,17,3.5,7,15,2.142857142857143,3
GGWC,Sediment,0,1,0,0,0,156,15,1,8,4,0.5,3
GGWC,Physical,0,1,0,0,0,429,14,5,6,15,2.5,3
GGWC,Biological,0,1,0,0,0,23,1,1,8,3,0.375,1
GLWQD-SWMN,Physical,1,0,0,0,0,2308,45,5,16,25,1.5625,7
GLWQD-SWMN,Chemical,1,0,0,0,0,1419,35,2,16,10,0.625,5
GLWQD-SWMN,Nutrients,0,1,0,0,0,2603,32,5,16,19,1.1875,4
GLWQD-SWMN,Biological,0,1,0,0,0,2279,13,3,15,45.5,3.033333333333333,3
GLWQD-SWMN,Sediment,0,1,0,0,0,257,19,1,7.5,3,0.4,3
